Epoch,Train Loss,Validation Loss
1,0.012376920550826702,0.010452493404348692
2,0.008894632620787298,0.010548646251360575
3,0.008511920102981027,0.010754981233427921
4,0.008338961930660246,0.00953064269075791
5,0.008273382159369486,0.009324350471918782
6,0.00772621345848919,0.009184468925620118
7,0.007502221611437497,0.008658333603913585
8,0.007196405877334041,0.008036870276555419
9,0.006998845879491922,0.008190204234172901
10,0.006740131755233617,0.007878481332833568
11,0.006594236482874499,0.007515727076679468
12,0.006408926250564086,0.007270383105302851
13,0.006386538417925974,0.007750163475672404
14,0.0062424406610630655,0.0070335399359464645
15,0.006125618519076893,0.0069689414619157715
16,0.006031355369617944,0.006929752960180243
17,0.005933624104940676,0.006847967626526952
18,0.005804163200344454,0.006399863321955006
19,0.005820840601347857,0.00677397094356517
20,0.0057111689653079785,0.006874737562611699
21,0.005687049151658341,0.006394238444045186
22,0.005595984348507078,0.0065735147800296545
23,0.0057157581328070375,0.006289725269501408
24,0.005561515676310739,0.0065530087643613415
25,0.005555043775202321,0.006232377180519204
26,0.005445644863553949,0.006104666118820508
27,0.005382418026308621,0.006508171635990341
28,0.005380785730373752,0.0065077117178589106
29,0.005346648732770805,0.00606818706728518
30,0.005338176698969291,0.005917947040870786
31,0.005331838683871267,0.005944967890779178
32,0.005276826959153688,0.0062712428625673056
33,0.005225886664193895,0.006099436548538506
34,0.0052454964266167034,0.006033973768353462
35,0.005183370500752652,0.006245649458530049
36,0.005298653787404702,0.005897685963039597
37,0.005174238815786199,0.006108888114492099
38,0.005153609993490013,0.005760394502431154
39,0.005115050593860917,0.006125827863191565
40,0.005190377318728212,0.005825918555880587
41,0.005114928674506578,0.005786948216458161
42,0.005103426960271758,0.005707479198463261
43,0.0050885315212580535,0.005728323749887447
44,0.005083253760276748,0.005762627115473151
45,0.005023101810365915,0.005768668993065755
46,0.0050179783280032714,0.005560822164018949
47,0.0050717578500274335,0.005469163996167481
48,0.005045947339805262,0.005701275969234605
49,0.004968835254879417,0.00611750401246051
50,0.005049468229969477,0.005653671842689316
51,0.005042483818272615,0.005607493493395547
52,0.005055038782826683,0.0056274274829775095
53,0.004944971594791692,0.005623577123818298
54,0.004960647530367112,0.005576770752668381
55,0.004924292862834828,0.005888267808283369
56,0.004963279313718279,0.005510354763828218
57,0.004933233660234658,0.0054813086753711104
58,0.0050397571344096385,0.005669129895977676
59,0.004952950096848581,0.0055487522622570395
60,0.004885074814680863,0.00586863374337554
61,0.004974980989622103,0.005630623161171873
62,0.004893419488022725,0.0054481961609174805
63,0.004917897093151738,0.005375951140498121
64,0.00488662328109615,0.005419732304289937
65,0.00496276129699975,0.0054954611308251815
66,0.004941846145451203,0.005445040878839791
67,0.0049054780534493764,0.005242667626589537
68,0.004906780763973927,0.006100428601106008
69,0.004915358729425583,0.00557101028971374
70,0.004916691628226021,0.005517567934778829
71,0.004942608120440094,0.00636792144117256
72,0.004997994534688088,0.005455920239910483
73,0.004877122494534732,0.0054157715834056335
74,0.004946801702382865,0.005562966340221465
75,0.004887625818384123,0.005445143984009822
76,0.004851995388398299,0.005390466966976722
77,0.004878296078442856,0.0053983875550329685
78,0.004925549399476868,0.005347003927454352
79,0.004853331299314091,0.005224292826217909
80,0.004878399029441245,0.005317431641742587
81,0.004960577844784738,0.005387635513519247
82,0.004850722301902401,0.005394041072577238
83,0.004848650608396342,0.005328018839160602
84,0.00484581633370269,0.005263857659883797
85,0.004879373721442781,0.005616233916953206
86,0.004858096988099787,0.005250215413980186
87,0.004864968609081598,0.0053018281469121575
88,0.004844355124241866,0.005538884356307487
89,0.004842866990329312,0.005146599917983015
90,0.004867172435026716,0.005383063418169816
91,0.0048334251518722055,0.005732007014254729
92,0.004797783971822879,0.005394275028569003
93,0.004862997018069298,0.005540352780371904
94,0.004868312789177573,0.0059553639342387514
95,0.004833709284965251,0.005661229564187427
96,0.004887382678167375,0.005448087700642645
97,0.004915528626575529,0.005381661195618411
98,0.0048546477573344834,0.005424028495326638
99,0.004841570595598167,0.005277547053992748
100,0.004856347916060471,0.005442697671242058
101,0.004845442766374028,0.0055908193268502755
102,0.004850812153555117,0.005436876478294532
103,0.004916171840106783,0.0053909958417837816
104,0.004843445578673939,0.005528365688708921
105,0.004852233714684173,0.005413603891308109
106,0.004827384199309457,0.005337244637000064
107,0.0048559829278068765,0.005361980603386958
108,0.004859727178070997,0.005439638160169125
109,0.004839134788526608,0.005668634393562873
110,0.00488155483486349,0.005240203385862212
111,0.0048407610728162095,0.0055066078978901105
112,0.004853514899910839,0.005403122554222743
113,0.004879018417685418,0.005345244193449616
114,0.004903009387891035,0.0055741189668575926
115,0.004838326985754811,0.005228630849160254
116,0.0048227384329882555,0.005550849096228679
117,0.004838331036168981,0.005362394576271375
118,0.004805479379085539,0.005308763783735533
119,0.004825489914363569,0.00543824532845368
120,0.004803923004818661,0.005440314261553188
121,0.004835618691317536,0.005335229604194562
122,0.0048273754996239196,0.005472283150690298
123,0.004843622160790203,0.005331534387854238
124,0.004811593209737324,0.005373971265119811
125,0.0048518834555907565,0.006037211744114757
126,0.004798526890357738,0.005289941987333198
127,0.004874364556828598,0.005437016293096046
128,0.004848843108996883,0.005347074513944487
129,0.004837196521662377,0.005529583587000768
130,0.004792103732659205,0.0053958731004968286
131,0.004830302412596506,0.0055009148782119155
132,0.004867346690934118,0.005456233435931305
133,0.004825219501497912,0.005640993088794251
134,0.004847620244700092,0.005329268247199555
135,0.00478539800246221,0.0053952926537021995
136,0.004828610753237798,0.0058071658325692015
137,0.004801843424436745,0.005429025584210952
138,0.004881631381608345,0.005294164991937578
139,0.0048279469090237006,0.00530111591797322
140,0.004894403350615018,0.005557892223199208
141,0.004823194885928486,0.005404136880921821
142,0.004807427785619422,0.005341379127154748
143,0.004869345628010394,0.005729365938653548
144,0.004827698325604066,0.005321875175771614
145,0.004825577764931295,0.005474630277603865
146,0.0048505996735682625,0.005520576145499945
147,0.00483271453806476,0.005382123054005206
148,0.004845884016102499,0.005369133859251936
149,0.004807937716192624,0.005776732073475917
150,0.004846442618768092,0.005442701163701713
151,0.004807084914179401,0.005356694222427905
152,0.0048135767191614925,0.005749005203445752
153,0.004817096357074406,0.005347887131695946
154,0.004801823709344676,0.005689699202775955
155,0.004836831910971989,0.005393069935962558
156,0.004856418268671175,0.00522401734876136
157,0.004868382632077948,0.005510123252558212
158,0.004800423207852218,0.005453899269923568
159,0.004828481437839769,0.00533490957847486
160,0.00484500411763653,0.005344171232233445
161,0.0048392677516047216,0.0052965782427539425
162,0.004845443169108113,0.005418339627794921
163,0.004834380193806447,0.005474514948825042
164,0.004817210079112032,0.005293301112639408
165,0.004794923630585005,0.005332519921163718
166,0.004866591996622381,0.005481137971704205
167,0.004828297134555943,0.005262026757312317
168,0.004811886404347312,0.0054776495865856605
169,0.004853080372905006,0.005629554546127717
170,0.004853700289737668,0.005431486332478623
171,0.004815318044862366,0.005308669526129961
172,0.004821766734223913,0.005431904884365697
173,0.004799794393113336,0.0052980374700079364
174,0.004818620466467765,0.005288088888240357
175,0.0048965501183694275,0.005415055047099789
176,0.004791406902006349,0.005425980702663462
177,0.004816383618425141,0.005527711473405361
178,0.0047865555378365085,0.005345039496508737
179,0.004837221617030131,0.005435191870977481
180,0.004844397043196803,0.005317378672771156
181,0.004773546129817495,0.00538895830201606
182,0.00483723941913529,0.005651579704135656
183,0.00484679590675745,0.0055114075463886065
184,0.004830208063746492,0.005608559624912838
185,0.0048262013797858005,0.005693159066140652
186,0.004827510672495575,0.005426527078573902
187,0.0048443414627465315,0.005324528513786693
188,0.004778011632781173,0.0053799519858633476
189,0.004846137010718923,0.0054178991898273425
190,0.004844428774237902,0.005291357908087472
191,0.004824831641304332,0.005324475816451013
192,0.0048326894280139926,0.005341885689025124
193,0.004805922603679335,0.0054297944298014045
194,0.0048367416691706255,0.005456240110409756
195,0.00480892066424293,0.005590649670921266
196,0.004820772874596957,0.00556126170946906
197,0.004810664343421121,0.005355297781837483
198,0.00481969257606915,0.005310241715051234
199,0.004810240650381725,0.005366629222407937
200,0.004806874357667324,0.0052790095408757525
